date,team,W/L,eFG%,TOV%,ORB%,FT/FGA,IsRegular,Season
2000-11-11,DET,0,.39,14.9,24.1,.198,1,2000
2000-11-11,MIL,0,.493,15.8,28.9,.24,1,2000
2000-11-11,MIN,1,.5,16.1,50,.212,1,2000
2000-11-11,NJN,1,.622,15.2,38.2,.156,1,2000
2000-11-11,SEA,0,.54,28.5,19.4,.365,1,2000
2000-11-11,NYK,1,.447,10.8,20,.187,1,2000
2000-11-11,CHH,0,.355,14.1,31.3,.171,1,2000
2000-11-11,PHI,1,.365,16,28.3,.359,1,2000
2000-11-11,BOS,0,.414,14.7,21.3,.198,1,2000
2000-11-11,PHO,1,.431,19.7,31,.188,1,2000
2000-11-11,MIA,0,.418,18.1,12.8,.288,1,2000
2000-11-11,POR,1,.655,15.3,13,.254,1,2000
2000-11-11,HOU,0,.487,14.3,12.2,.154,1,2000
2000-11-11,SAS,1,.485,17.1,11.1,.409,1,2000
2000-11-11,VAN,0,.39,10.5,18.9,.128,1,2000
2000-11-12,DEN,1,.46,10.9,16.7,.159,1,2000
2000-11-12,LAC,0,.343,14.9,31.4,.233,1,2000
2000-11-12,DET,1,.536,16.7,31,.145,1,2000
2000-11-12,SEA,0,.4,11.4,37.3,.222,1,2000
2000-11-12,GSW,0,.513,25.9,33.3,.213,1,2000
2000-11-12,ORL,1,.463,14.1,26.5,.191,1,2000
2000-11-12,LAL,1,.5,14.8,40,.235,1,2000
2000-11-12,HOU,0,.452,14.1,28.6,.452,1,2000
2000-11-12,SAC,1,.582,14,18.2,.329,1,2000
2000-11-12,DAL,0,.41,9.5,20,.124,1,2000
2000-11-13,LAC,0,.426,18.4,37,.176,1,2000
2000-11-13,DAL,1,.436,10,26.7,.282,1,2000
2000-11-13,NJN,0,.38,13.8,29.8,.229,1,2000
2000-11-13,POR,1,.521,23.3,30.6,.264,1,2000
2000-11-14,ATL,1,.533,17.7,30,.253,1,2000
2000-11-14,POR,0,.514,17.8,36.1,.301,1,2000
2000-11-14,CLE,1,.494,19,31.7,.244,1,2000
2000-11-14,GSW,0,.364,11.7,23.6,.333,1,2000
2000-11-14,HOU,1,.606,16.7,35.5,.338,1,2000
2000-11-14,CHI,0,.42,15.4,36,.102,1,2000
2000-11-14,LAL,1,.599,15.3,39.5,.186,1,2000
2000-11-14,DEN,0,.473,8.9,31.9,.187,1,2000
2000-11-14,MIA,1,.468,14.7,12.2,.205,1,2000
2000-11-14,CHH,0,.381,15.6,27.7,.262,1,2000
2000-11-14,SAC,1,.528,20.2,22.6,.278,1,2000
2000-11-14,ORL,0,.429,19.7,33.3,.119,1,2000
2000-11-14,SAS,1,.445,11.7,25,.159,1,2000
2000-11-14,UTA,0,.422,17.3,27.5,.182,1,2000
2000-11-14,SEA,1,.556,20.2,27.5,.239,1,2000
2000-11-14,NYK,0,.365,17.9,33.3,.153,1,2000
2000-11-15,BOS,1,.571,14.1,35.7,.238,1,2000
2000-11-15,WAS,0,.558,13,22.5,.282,1,2000
2000-11-15,DET,0,.457,20.1,20,.343,1,2000
2000-11-15,IND,1,.435,15,25,.212,1,2000
2000-11-15,LAC,1,.4,13.3,32.7,.118,1,2000
2000-11-15,NYK,0,.4,15,24.4,.125,1,2000
2000-11-15,MIL,1,.528,14,25.6,.127,1,2000
2000-11-15,ATL,0,.428,23.3,34.1,.217,1,2000
2000-11-15,MIN,1,.5,21.1,27,.165,1,2000
2000-11-15,GSW,0,.406,9.9,24.5,.189,1,2000
2000-11-15,NJN,1,.536,17.1,27,.257,1,2000
2000-11-15,MIA,0,.435,14.3,42,.2,1,2000
2000-11-15,PHI,1,.525,13,34.3,.304,1,2000
2000-11-15,CLE,0,.547,20.5,44.1,.213,1,2000
2000-11-15,PHO,1,.53,19.5,32.4,.133,1,2000
2000-11-15,DAL,0,.407,21.4,19.5,.227,1,2000
2000-11-16,DEN,1,.458,17.3,37.1,.319,1,2000
2000-11-16,CHI,0,.386,6.7,22.7,.253,1,2000
2000-11-16,HOU,1,.486,12.1,21.2,.162,1,2000
2000-11-16,CHH,0,.457,13.1,34.8,.061,1,2000
2000-11-16,SAC,0,.5,9.8,23.4,.209,1,2000
2000-11-16,LAL,1,.53,13.2,23.3,.289,1,2000
2000-11-16,TOR,0,.376,7.6,24.5,.146,1,2000
2000-11-16,POR,1,.474,12.4,22.5,.184,1,2000
2000-11-16,UTA,1,.515,21.8,25,.448,1,2000
2000-11-16,ORL,0,.418,20.6,25,.315,1,2000
2000-11-16,VAN,0,.394,13,35.1,.225,1,2000
2000-11-16,LAC,1,.428,11.7,31.8,.145,1,2000
2000-11-16,WAS,0,.47,14.1,24.4,.205,1,2000
2000-11-16,SAS,1,.513,13.5,23.8,.276,1,2000
2000-11-17,BOS,1,.506,11.3,39.5,.329,1,2000
2000-11-17,ATL,0,.562,17.2,24.1,.233,1,2000
2000-11-17,CHH,0,.429,13.7,20,.202,1,2000
2000-11-17,DET,1,.48,15.9,29.3,.303,1,2000
2000-11-17,IND,0,.423,11.8,35.4,.143,1,2000
2000-11-17,GSW,1,.437,14.3,34.9,.291,1,2000
2000-11-17,MIL,1,.447,10.7,19.1,.153,1,2000
2000-11-17,CLE,0,.438,20.8,20,.181,1,2000
2000-11-17,MIN,1,.519,18.3,14.3,.231,1,2000
2000-11-17,SAS,0,.5,16.9,23.4,.119,1,2000
2000-11-17,PHI,1,.541,17.4,21.2,.205,1,2000
2000-11-17,MIA,0,.403,14.3,30,.143,1,2000
2000-11-17,PHO,0,.478,26.3,27,.313,1,2000
2000-11-17,NYK,1,.411,13.1,13.6,.316,1,2000
2000-11-17,SEA,0,.416,13.8,35.8,.236,1,2000
2000-11-17,DAL,1,.518,15,31.7,.157,1,2000
2000-11-18,ATL,0,.438,16.9,20.5,.292,1,2000
2000-11-18,MIN,1,.5,18.1,17.2,.516,1,2000
2000-11-18,DEN,1,.449,15.1,39.5,.203,1,2000
2000-11-18,LAL,0,.408,6,28.3,.172,1,2000
2000-11-18,HOU,1,.462,18.2,33.3,.266,1,2000
2000-11-18,PHO,0,.413,16.2,31.8,.36,1,2000
2000-11-18,LAC,0,.47,27.1,25,.299,1,2000
2000-11-18,SEA,1,.36,10.2,29.5,.204,1,2000
2000-11-18,MIA,1,.434,9,27.1,.169,1,2000
2000-11-18,POR,0,.478,19.1,21.6,.221,1,2000
2000-11-18,NJN,1,.45,11.3,33.3,.313,1,2000
2000-11-18,IND,0,.494,20,40.5,.177,1,2000
2000-11-18,TOR,1,.461,9.3,34.2,.539,1,2000
2000-11-18,MIL,0,.511,10.1,29.8,.087,1,2000
2000-11-18,UTA,1,.65,18.8,37.9,.257,1,2000
2000-11-18,CHI,0,.278,9.8,24.1,.235,1,2000
2000-11-18,VAN,0,.487,14.9,20.5,.154,1,2000
2000-11-18,DAL,1,.5,16,25,.247,1,2000
2000-11-18,WAS,1,.578,14.7,15.2,.26,1,2000
2000-11-18,BOS,0,.445,15.6,27.7,.195,1,2000
2000-11-19,DET,0,.451,18.6,39.6,.268,1,2000
2000-11-19,CHH,1,.462,13.9,37.5,.405,1,2000
2000-11-19,LAL,1,.563,11.6,33.3,.19,1,2000
2000-11-19,CHI,0,.489,12.1,37.2,.101,1,2000
2000-11-19,NYK,1,.5,12.8,22.2,.189,1,2000
2000-11-19,GSW,0,.363,11.5,27.7,.119,1,2000
2000-11-19,ORL,0,.494,18,39.1,.241,1,2000
2000-11-19,POR,1,.46,12.7,39,.345,1,2000
2000-11-20,BOS,0,.438,21,36.7,.235,1,2000
2000-11-20,PHI,1,.529,11.4,28.3,.253,1,2000
2000-11-20,LAC,0,.418,18.1,45.7,.165,1,2000
2000-11-20,NJN,1,.475,10.9,26.7,.139,1,2000
2000-11-20,TOR,0,.287,16.2,32.1,.146,1,2000
2000-11-20,CHH,1,.537,14.6,22.9,.16,1,2000
2000-11-20,UTA,0,.433,9.7,30,.236,1,2000
2000-11-20,DAL,1,.599,16.3,12.5,.31,1,2000
2000-11-20,VAN,0,.435,14.4,32.6,.226,1,2000
2000-11-20,DEN,1,.513,13.4,24.4,.208,1,2000
2000-11-21,CLE,1,.645,17.5,40.6,.12,1,2000
2000-11-21,DET,0,.411,9.5,37.7,.267,1,2000
2000-11-21,DAL,0,.577,14.9,24.4,.256,1,2000
2000-11-21,SEA,1,.5,12.7,45.2,.289,1,2000
2000-11-21,GSW,1,.428,13.7,37.5,.217,1,2000
2000-11-21,CHI,0,.381,15.3,25.5,.2,1,2000
2000-11-21,IND,0,.534,14.7,30.8,.151,1,2000
2000-11-21,HOU,1,.57,10.6,27,.139,1,2000
2000-11-21,ORL,0,.435,17.9,33.3,.221,1,2000
2000-11-21,NYK,1,.417,14.5,27.5,.256,1,2000
2000-11-21,WAS,0,.462,13.5,28.2,.282,1,2000
2000-11-21,POR,1,.538,15,40.5,.256,1,2000
2000-11-22,ATL,1,.434,19.7,40.5,.279,1,2000
2000-11-22,NYK,0,.458,15.6,22.9,.127,1,2000
2000-11-22,BOS,1,.468,16.6,27.5,.295,1,2000
2000-11-22,HOU,0,.347,14,26.7,.227,1,2000
2000-11-22,CHH,1,.419,17.9,41.3,.263,1,2000
2000-11-22,PHI,0,.354,9.8,22.6,.183,1,2000
2000-11-22,LAL,1,.622,21.4,30.3,.179,1,2000
2000-11-22,GSW,0,.398,17.2,33.3,.183,1,2000
